sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
743,3429,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
744,3429,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
745,3429,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
746,3429,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
747,3429,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
748,3429,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
749,3429,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
750,3430,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 54 00 00 00 05 77 63 70 c5 21 c9 91 65 24 1e 90 80 00 00 00 00 12 8e c0 00 00 00 00 00 01 a5 04 04 80",""
751,3453,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 60 00 83 00 60 7f c0 00 38 4c e9 f0 d0 d3 c9 d1 6b 00 1f 10 84 00 00 00 00 3d 85 c0 00 00 c4 6a c0 f5 dc 9d c3 73 fd fd ac 04 64 80",""
752,3453,"PACKET","IN",207,41,"PlayerSync","id=207 bytes=41","cf 92 00 00 00 13 8b 23 30 df d9 89 91 72 df 1e 90 84 00 00 00 02 9b 21 c0 00 00 44 01 00 e9 16 75 90 0f fd fd a5 04 04 80",""
753,3453,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 92 00 04 bd a4 c5 be 6d c2 6a 3f 37 40 cd bd b7 d1 8b c3 a4 4b 26 45 a4 9f 7d 42 00 00 00 00 3f 37",""
754,3454,"PACKET","IN",207,41,"PlayerSync","id=207 bytes=41","cf 29 00 00 00 09 a7 a8 30 e0 d5 09 d1 7b 67 1f 10 84 00 00 00 00 88 e3 c0 00 00 70 e5 64 e9 dc 1c 4e af fd fd 0e 05 02 16",""
755,3454,"PACKET","IN",207,41,"PlayerSync","id=207 bytes=41","cf 46 00 00 00 2c 6b a2 f0 e4 28 c9 91 56 3c 9f 10 80 00 00 00 00 00 03 c0 00 01 8c 97 78 f7 fd ff fd fc 00 01 28 00 04 11",""
756,3454,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 60 00 82 00 60 7f c0 00 01 0f 69 f0 db 14 09 d1 74 00 df 10 84 00 00 00 02 dd 89 c0 00 02 98 b2 b4 f4 b8 98 c7 6f fd fd ac 04 64 80",""
757,3454,"PACKET","IN",207,37,"PlayerSync","id=207 bytes=37","cf 1a 00 44 80 00 00 00 5b ec 70 ce 4f 09 d1 4b b5 20 10 84 00 00 00 00 96 e9 80 00 00 00 00 00 01 c8 04 04 80",""
758,3454,"PACKET","IN",207,41,"PlayerSync","id=207 bytes=41","cf 85 00 00 00 3f 5a e5 b0 ce ff c9 91 6c 24 9f 10 80 00 00 00 00 ab 25 80 00 02 59 bd a4 f5 a7 f3 a9 87 fd fd 28 00 04 11",""
759,3480,"PACKET","IN",207,43,"PlayerSync","id=207 bytes=43","cf 1a 00 44 80 00 00 10 9c ac 70 cc cf 09 d1 57 35 60 10 84 00 00 00 02 0b 0d 80 00 02 ea 57 e0 f0 d8 02 91 e3 fd fd c8 04 04 80",""
