sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
1,14,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 46 00 f7 ff e0 bf c0 00 30 5f 66 f0 f5 ce c9 91 4a f9 5f 50 80 00 00 00 02 6e cb c0 00 02 dd 25 b4 f8 c7 d8 7e 0f e1 39 ab 04 08 80",""
2,15,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 46 00 f7 ff e0 bf c0 00 0d 99 26 f0 fb 4e c9 91 51 e2 5f 50 80 00 00 00 02 6e cb c0 00 01 3c 15 c0 fa cf d0 56 0e 11 2d ab 04 08 80",""
3,15,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 4b 00 84 80 60 7f c0 00 2d 3e a6 30 f2 19 c9 91 5f 00 1f 10 84 00 00 00 00 f6 eb 80 00 02 d4 c9 54 f8 e0 02 05 e3 fd fd ac 04 64 80",""
4,43,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 4b 00 84 80 60 7f c0 00 06 c0 e6 70 ee 19 c9 91 54 00 1f 10 84 00 00 00 00 f6 eb 80 00 02 c8 ee 7c f4 e0 02 05 e3 fd fd ac 04 64 80",""
5,43,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 46 00 f7 ff e0 bf c0 00 1b 51 26 f0 c2 0f 09 91 76 42 df 50 80 00 00 00 02 6e cb c0 00 02 92 c9 cc fb 0b c8 22 0d 91 1d ab 04 08 80",""
6,44,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 9e 00 00 00 36 83 69 b0 f6 5c 49 d1 61 99 1e d0 80 00 00 00 00 7f 3a 40 00 00 00 00 00 01 a5 04 04 80",""
7,44,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 4b 00 84 80 60 7f c0 00 18 47 66 70 e1 d9 c9 91 72 bf de d0 84 00 00 00 00 f6 eb 80 00 02 a4 dc 70 f8 e0 02 05 e3 fd fd ac 04 64 80",""
8,44,"PACKET","IN",207,43,"PlayerSync","id=207 bytes=43","cf 63 00 60 00 00 00 0f 26 66 70 cc 41 09 91 4c 82 5f 10 80 00 00 00 03 07 cb 80 00 02 20 72 bc f4 3b 37 2c 67 fd fd c8 04 02 80",""
9,70,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 46 00 f7 ff e0 bf c0 00 04 49 26 f0 c8 cf 09 91 68 a0 1f 10 80 00 00 00 02 6e cb c0 00 00 ca f9 dc fa cb c3 ea 09 91 0d ab 04 08 80",""
10,71,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 49 00 00 00 05 d5 25 b0 dd 8f 09 d1 6c 24 9f 10 80 00 00 00 01 eb 77 c0 00 00 00 00 00 01 28 00 04 11",""
11,71,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 1c 00 00 00 2d 02 a6 f0 e0 10 09 d1 7b 67 1f 10 84 00 00 00 00 15 5f 00 00 00 00 00 00 01 a5 04 e8 80",""
12,71,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 46 00 fd ff e0 bf c2 00 2e c2 e6 f0 ce 0f 09 91 59 c4 5f 10 80 00 00 00 02 6e cb c0 00 00 8f e9 e8 f8 6f bf be 0a 11 01 ac 04 64 80",""
13,71,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 4b 00 84 80 60 7f c0 00 32 0b 26 70 da 99 c9 91 5e 7f de d0 84 00 00 00 00 f6 eb 80 00 02 f3 38 4c f8 e0 02 05 e3 fd fd ac 04 64 80",""
14,71,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 70 00 00 00 23 1c 6a 70 ef f1 c9 91 61 b3 df 90 80 00 00 00 02 93 6f 00 00 00 00 00 00 01 00 00 00 80",""
15,106,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 1a 00 00 00 37 65 23 70 da 69 09 91 4b 21 de 90 80 00 00 00 00 b3 19 80 00 00 00 00 00 01 28 00 04 11",""
16,106,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 1a 00 04 d3 9c 75 3f 6f c4 67 be f9 31 2c be ae 9e 8e c3 40 ac 26 45 4e 62 7e 42 00 00 00 00 3f 36",""
17,106,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 46 00 fd ff e0 bf c0 00 15 7c a6 b0 d3 8f 09 91 4b 25 9e d0 80 00 00 00 02 6e cb c0 00 00 02 15 f8 f9 ab b7 92 0a 90 f5 ac 04 64 80",""
18,106,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 4b 00 84 80 60 7f c0 00 3d 0d e6 70 d5 59 c9 91 4f bf de d0 84 00 00 00 00 f6 eb 80 00 02 6c 2b 1c f4 e0 02 05 e3 fd fd ac 04 64 80",""
