sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
464,2711,"RPC","IN",113,59,"SetPlayerAttachedObject","id=113 bytes=59","1a 00 09 00 00 00 db a4 80 00 02 80 00 00 62 90 18 1e b3 34 5e 1e 53 4d e2 5d 81 80 70 61 4f cc 85 e1 01 00 04 60 80 00 40 1f 80 00 40 1f 80 00 40 1f 80 00 00 00 00 00 00 00 00",""
465,2711,"RPC","IN",59,45,"ChatBubble","id=59 bytes=45","1a 00 aa ff bb ff 00 00 f0 41 88 13 00 00 1e 2a 20 4d 65 6d 62 75 6b 61 20 73 6d 61 72 74 70 68 6f 6e 65 20 6d 69 6c 69 6b 6e 79 61 2e",""
466,2711,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
467,2711,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
468,2711,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
469,2711,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
470,2712,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
471,2712,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
472,2712,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
473,2712,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
474,2712,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
475,2712,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
476,2712,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
477,2712,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
478,2712,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
479,2712,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
480,2712,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
481,2712,"RPC","IN",122,2,"StopObject","id=122 bytes=2","a0 00",""
482,2713,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","a0 00 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
