sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
1,11,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 81 00 48 40 00 00 29 df aa b0 df a1 c9 d1 7a 56 1f 50 84 00 00 00 03 15 7b 40 00 02 f6 11 04 f7 d4 9f a7 73 fd fd 00 00 00 80",""
2,12,"RPC","IN",86,27,"ApplyPlayerAnimation","id=86 bytes=27","51 00 07 42 44 5f 46 49 52 45 07 77 61 73 68 5f 75 70 33 33 83 40 80 00 00 00 00",""
3,12,"PACKET","IN",207,41,"PlayerSync","id=207 bytes=41","cf 0b 00 00 00 38 74 a3 70 d2 e2 89 91 47 24 1e 90 80 00 00 00 00 42 8b c0 00 02 6f db 08 e8 f0 dd 37 a7 fd fd 11 05 05 16",""
4,13,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 2d 00 00 00 37 8d 62 b0 cb e9 09 91 5c 9a de 90 80 00 00 00 01 5c 03 c0 00 00 00 00 00 01 28 00 04 11",""
5,13,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 4f 00 fa 7f eb bf c0 00 17 a2 22 70 fa cf 89 91 6b 9d de 90 80 00 00 00 03 73 da 00 00 02 d6 4e f0 f5 6f 07 c8 47 fd fd 28 00 04 11",""
6,35,"PACKET","IN",200,38,"VehicleSync","id=200 bytes=38","c8 3f 00 4b 00 00 00 00 00 00 00 58 d0 c6 60 33 38 b3 26 5e ac 32 5b 62 b4 58 93 b9 b4 20 00 00 00 06 80 3a 00 00",""
7,35,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 4f 00 fa 7f eb bf c0 00 0b e0 62 70 da 0f 49 91 4c 1e 1e 90 80 00 00 00 03 73 da 00 00 00 4e 67 0c f5 6f 07 c8 47 fd fd 28 00 04 11",""
8,35,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 83 80 51 c0 00 00 2b a2 ea b0 cd a2 49 d1 54 57 5f 50 84 00 00 00 03 15 7b 40 00 00 85 12 80 f7 d4 9f a7 73 fd fd 00 00 00 80",""
9,59,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 84 00 53 40 00 00 18 e3 aa b0 e4 62 49 d1 4f 17 9f 50 84 00 00 00 03 15 7b 40 00 03 ca 20 64 f7 d4 9f a7 73 fd fd 00 00 00 80",""
10,82,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 37 00 00 00 16 3c 62 b0 f4 68 c9 91 56 9b 9e 90 80 00 00 00 02 2c 7b 40 00 00 00 00 00 01 28 00 04 11",""
11,82,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 4f 00 fa 7f eb bf c0 00 03 9e 62 70 ec 8e c9 91 71 1e 1e 90 80 00 00 00 03 73 da 00 00 00 a1 36 f4 f5 6f 07 c8 47 fd fd 28 00 04 11",""
12,83,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 85 00 57 80 00 00 07 24 6a b0 fb 62 49 d1 49 d7 df 50 84 00 00 00 03 15 7b 40 00 00 0e 24 64 f7 d4 9f a7 73 fd fd 00 00 00 80",""
13,83,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 97 00 00 00 39 55 a5 b0 df 38 c9 91 6c 24 9f 10 80 00 00 00 01 30 6f e8 00 00 00 00 00 01 28 00 04 11",""
14,83,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 97 00 04 82 d9 af ba 08 02 7e 3f ca fa fe bd bc 56 96 c3 81 d4 26 45 5b 71 7f 42 00 00 00 00 3f 36",""
15,83,"PACKET","OUT",207,69,"PlayerSync","id=207 bytes=69","cf 00 00 00 00 00 00 5f 9e a0 c3 95 ed 26 45 ed 9c 7c 42 0f 68 4f 3f 00 00 00 80 00 00 00 00 d5 0f 16 bf 64 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 a5 04 04 80",""
16,109,"PACKET","IN",207,41,"PlayerSync","id=207 bytes=41","cf 0b 00 00 00 15 f4 e3 70 d8 62 89 91 48 64 1e 90 80 00 00 00 00 42 8b c0 00 00 d7 2f 48 ea 8c ea 4f af fd fd 11 05 05 16",""
17,109,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 4f 00 fa 7f eb bf c0 00 0f 1c a2 70 d0 8e 89 91 4f de 5e 90 80 00 00 00 03 73 da 00 00 03 8c 4e e0 f5 6f 07 c8 47 fd fd 28 00 04 11",""
18,109,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 86 00 5a 80 00 00 11 65 ea b0 ef 62 89 d1 4f 18 5f 50 84 00 00 00 03 15 7b 40 00 00 e7 e6 b4 f7 d4 9f a7 73 fd fd 00 00 00 80",""
19,109,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 02 00 00 00 08 a8 a2 70 e7 a8 c9 91 7a 9d 5e 90 84 00 00 00 00 fc 56 c0 00 00 00 00 00 01 28 00 04 11",""
20,109,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 4b 00 00 00 03 ad a5 70 c6 0c c9 91 48 98 9e d0 80 00 00 00 02 73 ca 00 00 00 00 00 00 01 a5 04 04 80",""
21,110,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 86 80 5c 80 00 00 2d 67 2a b0 dd 62 c9 d1 44 d8 df 50 84 00 00 00 03 15 7b 40 00 01 8f de 64 f7 d4 9f a7 73 fd fd 00 00 00 80",""
22,133,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 4f 00 fa 7f eb bf c0 00 2b d9 e2 70 c2 8e 09 91 7f 9e 5e 90 80 00 00 00 03 73 da 00 00 02 0e 3a cc f5 6f 07 c8 47 fd fd 28 00 04 11",""
23,134,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 87 00 5e 00 00 00 0d e7 ea b0 f2 a2 c9 d1 7b 18 df 50 84 00 00 00 03 15 7b 40 00 00 15 5c 38 f7 d4 9f a7 73 fd fd 00 00 00 80",""
24,134,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 87 80 5f c0 00 00 2f 68 6a b0 c7 e3 09 d1 71 d9 1f 50 84 00 00 00 03 15 7b 40 00 00 41 5c 38 f7 d4 9f a7 73 fd fd 00 00 00 80",""
25,134,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 7e 00 00 00 19 9f e8 30 f4 7c 8a 51 40 30 1e 90 80 00 00 00 03 1d 3f 94 00 00 00 00 00 01 a5 04 08 80",""
26,161,"PACKET","IN",200,38,"VehicleSync","id=200 bytes=38","c8 3f 00 4b 00 00 00 00 00 00 00 59 b0 c5 d0 33 48 b3 06 5e ac 32 5b 62 b4 58 43 b9 b4 20 00 00 00 06 80 3a 00 00",""
27,161,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 4f 00 fa 7f eb bf c0 00 2e d8 22 70 e4 cd 89 91 5f 1e 9e 90 80 00 00 00 03 73 da 00 00 02 40 fa cc f5 6f 07 c8 47 fd fd 28 00 04 11",""
28,162,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 88 80 5f 80 00 00 39 6a 6a b0 cc a3 49 d1 62 59 df 50 84 00 00 00 03 15 7b 40 00 03 fb 4d 7c f7 d4 9f a7 73 fd fd 00 00 00 80",""
29,162,"RPC","IN",87,2,"ClearPlayerAnimation","id=87 bytes=2","7c 00",""
30,162,"RPC","IN",86,29,"ApplyPlayerAnimation","id=86 bytes=29","7c 00 05 43 41 52 52 59 0b 63 72 72 79 5f 70 72 74 69 61 6c 33 33 83 40 00 00 00 00 00",""
31,162,"PACKET","IN",207,41,"PlayerSync","id=207 bytes=41","cf 0b 00 00 00 33 f4 e3 70 de a2 89 91 49 a4 1e 90 80 00 00 00 00 42 8b c0 00 03 5a e7 68 e8 ac f2 2f b3 fd fd 11 05 05 16",""
32,163,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 0b 00 04 96 eb 35 3f 8e 37 29 3f 96 ca 76 be c2 f6 8e c3 95 68 26 45 3f 06 80 42 00 00 00 00 3f 36",""
33,163,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 1a 00 00 00 28 14 e5 b0 cd 83 09 d1 6c 24 9f 10 80 00 00 00 03 eb 49 80 00 00 00 00 00 01 28 00 04 11",""
34,163,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 4f 00 fa 7f eb bf c0 00 0e 16 62 70 ff 8d 09 91 41 1e de 90 80 00 00 00 03 73 da 00 00 03 10 ca d4 f5 6f 07 c8 47 fd fd 28 00 04 11",""
35,163,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 4f 00 04 46 ed fe 3e 29 eb 5b bf 96 4b f3 bd 2b 38 8a c3 13 65 26 45 29 8b 7e 42 00 00 00 00 3f 26",""
36,189,"PACKET","IN",207,39,"PlayerSync","id=207 bytes=39","cf 1c 00 83 80 42 00 00 00 1a 8b 23 30 fc 66 89 91 71 9f 1e 90 80 00 00 00 03 8c 37 e0 00 00 00 00 00 01 00 00 00 80",""
37,189,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 51 00 00 00 2e e7 28 30 ea ff 89 91 7b 67 1f 10 84 00 00 00 03 a6 8b c0 00 00 00 00 00 01 28 00 04 11",""
38,189,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 92 00 00 00 25 16 23 30 ce c8 89 91 43 23 5e 90 80 00 00 00 03 bd 7d c0 00 00 00 00 00 01 a5 04 04 80",""
39,189,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1c 00 8a 00 45 40 00 00 00 8b 23 30 da 26 c9 91 70 5f 1e 90 80 00 00 00 02 e0 73 e0 00 01 8d 98 18 f7 76 34 fb ff fd fd 00 00 00 80",""
40,189,"PACKET","IN",200,38,"VehicleSync","id=200 bytes=38","c8 3f 00 4b 00 00 00 00 00 00 00 59 50 c6 10 33 48 b3 06 5e ac 32 5b 62 b4 58 63 b9 b4 20 00 00 00 06 80 3a 00 00",""
41,189,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 4f 00 fa 7f eb bf c0 00 3f 14 62 70 de 0c c9 91 62 1e de 90 80 00 00 00 03 73 da 00 00 02 d8 ca d4 f5 6f 07 c8 47 fd fd 28 00 04 11",""
42,190,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 89 00 5f 80 00 00 37 6b 6a b0 ee 23 49 d1 78 1a 1f 50 84 00 00 00 03 15 7b 40 00 03 3b 9f 7c f3 d4 9f a7 73 fd fd 00 00 00 80",""
43,210,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1c 00 90 80 48 c0 00 00 0e ca e3 30 f5 66 c9 91 6e 1f 1e 90 80 00 00 00 01 e0 ab e0 00 01 79 98 18 f6 26 73 1b f3 fd fd 00 00 00 80",""
44,210,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 85 00 00 00 18 e4 22 b0 cb 69 09 91 7a 98 de 90 80 00 00 00 03 74 25 80 00 00 00 00 00 01 28 00 04 11",""
45,210,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 85 00 04 1f 5c 3c bf 45 cd b8 3e 3c b1 12 bf 4d e3 89 c3 90 99 26 45 5c 80 80 42 00 00 00 00 3f c6",""
46,230,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1c 00 95 00 4c 40 00 00 04 8a a3 30 d0 27 09 91 6a 9f 1e 90 80 00 00 00 01 70 e3 e0 00 01 5d 98 18 f7 86 a7 cf e3 fd fd 00 00 00 80",""
47,230,"PACKET","IN",200,38,"VehicleSync","id=200 bytes=38","c8 20 00 41 00 00 00 00 00 00 00 0b d0 5b c0 21 ea aa 6f a9 5c 39 2c 82 54 59 58 47 a4 20 00 00 00 02 40 3f 00 00",""
48,231,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 20 00 12 a3 6f 7c 3f 38 23 95 bd 18 13 19 be f3 06 99 c3 c7 cf 25 45 6f 10 81 42 00 00 00 00 3f 37",""
49,231,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 4d 00 00 00 19 5f dc f0 c3 00 c9 91 7b ec 9e 90 80 00 00 00 00 39 bc 80 00 00 00 00 00 01 a8 04 04 11",""
50,231,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 4f 00 fa 7f eb bf c0 00 1d d2 a2 70 f8 cc 49 91 44 1f 1e 90 80 00 00 00 03 73 da 00 00 00 e4 0e c4 f5 6f 07 c8 47 fd fd 28 00 04 11",""
51,231,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 54 00 00 00 27 65 68 30 dc 13 49 d1 7b 67 1f 10 84 00 00 00 01 87 f6 c0 00 00 00 00 00 01 28 00 04 11",""
52,231,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 8a 00 5f 80 00 00 3c ed ea b0 c3 23 c9 d1 52 db 1f 50 84 00 00 00 03 15 7b 40 00 01 5b ae fc f3 d4 9f a7 73 fd fd 00 00 00 80",""
53,258,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 0b 00 00 00 36 74 e3 70 df 22 89 91 49 e4 1e 90 80 00 00 00 00 42 8b c0 00 00 00 00 00 01 a5 04 e8 80",""
54,258,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1c 00 98 00 4e 80 00 00 25 8a 23 30 e9 27 09 91 66 5f 1e 90 80 00 00 00 02 e5 17 e0 00 01 35 98 18 f7 e6 da 5b cf fd fd 00 00 00 80",""
55,258,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 4f 00 fa 7f eb bf c0 00 2e 90 a2 70 d0 8c 09 91 67 1f 1e 90 80 00 00 00 03 73 da 00 00 03 a5 ae a8 f5 6f 07 c8 47 fd fd 28 00 04 11",""
56,258,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 7c 00 00 00 38 64 25 b0 e1 1a 09 d1 6c 24 9f 10 80 00 00 00 01 b1 ee 40 00 00 00 00 00 01 fb 04 e8 80",""
57,258,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1c 00 9a 00 50 c0 00 00 32 09 a3 30 c0 a7 49 91 61 1f 1e 90 80 00 00 00 03 5d 4b e0 00 00 fd 98 18 f4 5b 0c 07 b7 fd fd 00 00 00 80",""
58,259,"PACKET","IN",200,38,"VehicleSync","id=200 bytes=38","c8 3f 00 4b 00 00 00 00 00 00 00 59 00 c6 30 33 58 b3 06 5e ac 32 5b 62 b4 58 73 b9 b4 20 00 00 00 06 80 3a 00 00",""
59,259,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 76 00 8a 80 5f 80 00 00 15 ae ea b0 df a3 c9 d1 5c 1b 5f 50 84 00 00 00 03 15 7b 40 00 01 2b ae fc f3 d4 9f a7 73 fd fd 00 00 00 80",""
60,279,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 1c 00 9b 80 52 80 00 00 24 c9 23 30 d7 67 49 91 5a 9f 1e 90 80 00 00 00 01 3d 83 e0 00 00 c9 98 18 f5 8b 38 bf 97 fd fd 00 00 00 80",""
61,279,"PACKET","IN",207,45,"PlayerSync","id=207 bytes=45","cf 4f 00 fa 7f eb bf c0 00 31 ce e2 70 f3 0b 89 91 46 9f 5e 90 80 00 00 00 03 73 da 00 00 00 c4 9e 8c f5 6f 07 c8 47 fd fd 28 00 04 11",""
