sequence,elapsed_ms,type,direction,id,bytes,name,details,hex,marker
1547,10509,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","28 00 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
1548,10509,"RPC","IN",122,2,"StopObject","id=122 bytes=2","28 00",""
1549,10509,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","28 00 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
1550,10509,"RPC","IN",122,2,"StopObject","id=122 bytes=2","28 00",""
1551,10509,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","28 00 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
1552,10509,"RPC","IN",122,2,"StopObject","id=122 bytes=2","28 00",""
1553,10509,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","28 00 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
1554,10509,"RPC","IN",122,2,"StopObject","id=122 bytes=2","28 00",""
1555,10509,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","28 00 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 f8 e3 a1 c3 d7 9b 26 45 53 c5 7d 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
1556,10509,"RPC","IN",122,2,"StopObject","id=122 bytes=2","28 00",""
1557,10509,"RPC","IN",99,42,"MoveObject","id=99 bytes=42","28 00 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 f8 e3 a1 c3 d7 9b 26 45 ed 5e 7b 42 00 00 80 3e 00 00 00 00 00 00 00 00 08 cc 84 43",""
1558,10509,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 1b 00 00 00 14 4b 23 30 e7 5e 49 91 72 1f 1e 90 84 00 00 00 03 f6 d3 00 00 00 00 00 00 01 28 00 04 11",""
1559,10510,"PACKET","IN",207,49,"PlayerSync","id=207 bytes=49","cf 1f 00 00 00 36 08 2b 70 fe 3f c9 91 67 b6 9f d0 83 cc 1b 34 0c 93 f3 e0 00 0c 00 00 00 02 e6 00 01 09 d6 7e 00 80 58 7c 00 31 be 7b 03 04 04 80",""
1560,10529,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 15 00 00 00 0d a7 68 30 e3 bc 89 91 7b 67 1f 10 84 00 00 00 03 e6 8d 80 00 00 00 00 00 01 28 00 04 11",""
1561,10529,"PACKET","IN",203,34,"AimSync","id=203 bytes=34","cb 15 00 04 33 57 74 bf cd ef 4d 3e 78 ac 61 be 95 f4 9e c3 5f e7 26 45 d5 09 81 42 00 00 00 00 3f 36",""
1562,10529,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 7c 00 00 00 2e 67 68 30 c9 79 09 91 7b 67 1f 10 84 00 00 00 03 5a 96 40 00 00 00 00 00 01 28 00 04 11",""
1563,10549,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 28 00 29 00 00 00 00 00 08 00 0e 20 03 30 3c 7b 76 f5 42 7c 3d 6b d2 44 5f bf 97 d4 25 ac f1 a3 fe 7f f7 e7 ba 88 16 40 7f 00 00",""
1564,10574,"PACKET","IN",207,41,"PlayerSync","id=207 bytes=41","cf 08 00 00 00 36 55 29 70 ce 8c 8a 91 44 81 1e d0 80 00 00 00 01 37 ff c0 00 0d 3c 60 c0 f5 92 49 50 07 fd fd c8 04 04 80",""
1565,10574,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 60 00 00 00 18 4b 23 30 d2 98 49 91 73 1f 1e 90 84 00 00 00 00 9a bd c0 00 00 00 00 00 01 28 00 04 11",""
1566,10574,"PACKET","IN",211,27,"PassengerSync","id=211 bytes=27","d3 97 00 29 00 01 00 64 4c 00 00 00 00 00 00 c5 14 28 c3 25 b8 24 45 93 5a 7e 42",""
1567,10596,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 3c 00 47 00 00 00 00 00 00 00 21 b0 02 c0 4c 6f e9 ac 97 2c 3f 93 e2 24 54 01 f7 94 22 f0 a0 33 eb 99 b0 a0 3b 68 06 80 3a 00 50",""
1568,10596,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 4f 00 00 00 0a f1 a3 30 c2 14 89 91 76 20 de 90 80 00 00 00 03 60 5a 00 00 00 00 00 00 01 28 00 04 11",""
1569,10597,"PACKET","IN",207,49,"PlayerSync","id=207 bytes=49","cf 1f 00 00 00 39 07 ab 70 c3 80 09 d1 4e b6 5f d0 83 04 1c f8 10 77 f3 e0 00 0c 00 00 00 02 e6 00 01 09 d6 7e 00 80 58 7c 00 31 be 7b 03 04 04 80",""
1570,10624,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 28 00 29 00 00 00 00 00 08 00 45 d0 04 f0 2e 0b 72 71 22 5c 37 cb c2 44 59 21 97 e4 2e 2e 11 b3 fe 3f f1 17 bc a8 16 40 7f 00 00",""
1571,10624,"RPC","IN",105,19,"TextDrawSetString","id=105 bytes=19 | TextDrawID=303 length=15 text=""09 Agustus 2026""","2f 01 0f 00 30 39 20 41 67 75 73 74 75 73 20 32 30 32 36",""
1572,10624,"RPC","IN",105,12,"TextDrawSetString","id=105 bytes=12 | TextDrawID=304 length=8 text=""12:19:11""","30 01 08 00 31 32 3a 31 39 3a 31 31",""
1573,10665,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 08 00 00 00 13 94 e9 70 ff cc 0a 91 5e 7f de 90 84 00 00 00 01 db ff c0 00 0c 00 00 00 01 f1 03 04 80",""
1574,10666,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 30 00 00 00 11 cb 23 30 f6 e1 09 91 71 df 1e 90 84 00 00 00 00 0a cf 00 00 00 00 00 00 01 28 00 04 11",""
1575,10666,"PACKET","IN",211,27,"PassengerSync","id=211 bytes=27","d3 97 00 29 00 01 00 64 4c 00 00 00 00 00 00 92 a1 25 c3 9d b6 24 45 fd 77 7e 42",""
1576,10666,"RPC","IN",86,27,"ApplyPlayerAnimation","id=86 bytes=27","6b 00 07 42 44 5f 46 49 52 45 07 77 61 73 68 5f 75 70 33 33 83 40 80 00 00 00 00",""
1577,10666,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 55 00 00 00 32 ed e6 b0 da b6 49 91 7b 67 1f 10 84 00 00 00 00 72 71 80 00 00 00 00 00 01 28 00 04 11",""
1578,10666,"RPC","IN",87,2,"ClearPlayerAnimation","id=87 bytes=2","1a 00",""
1579,10666,"RPC","IN",86,29,"ApplyPlayerAnimation","id=86 bytes=29","1a 00 05 43 41 52 52 59 0b 63 72 72 79 5f 70 72 74 69 61 6c 33 33 83 40 00 00 00 00 00",""
1580,10687,"PACKET","IN",207,49,"PlayerSync","id=207 bytes=49","cf 1f 00 00 00 3a 07 2b 70 c9 00 09 d1 74 75 df d0 82 48 22 c4 10 57 f3 e0 00 0c 00 00 00 02 e6 00 01 09 d6 7e 00 80 58 7c 00 31 be 7b 03 04 04 80",""
1581,10687,"PACKET","IN",200,44,"VehicleSync","id=200 bytes=44","c8 28 00 29 00 00 00 00 00 08 00 4c d0 1c c0 0e fb 70 ec a2 2c 30 9b b2 44 52 f3 87 e4 2b bf 91 c3 fe 1f fd 87 a9 68 16 40 7f 00 00",""
1582,10687,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 2d 00 00 00 34 a7 e5 b0 d2 4e 89 d1 6c 24 9f 10 84 00 00 00 01 78 73 c0 00 00 00 00 00 01 28 00 04 11",""
1583,10707,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 00 00 00 00 1d e3 e3 70 f6 e5 09 91 41 63 5e 90 80 00 00 00 03 4b 47 00 00 00 00 00 00 01 28 00 04 11",""
1584,10708,"PACKET","OUT",207,69,"PlayerSync","id=207 bytes=69","cf 00 00 00 00 00 00 f7 9e a0 c3 55 1c 27 45 ed 9c 7c 42 58 d8 36 3f 00 00 00 80 00 00 00 00 cb 2c 33 bf 64 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 28 00 04 11",""
1585,10726,"PACKET","IN",207,35,"PlayerSync","id=207 bytes=35","cf 08 00 00 00 0f 54 a9 70 cb 0c 0a 91 5d 3f de 90 84 00 00 00 01 db ff c0 00 0c 00 00 00 01 f1 03 04 80",""
